E,log10E,Ta_c_data,k_c_data,Ta_c_dist,k_c_dist,Ta_c_cnp,k_c_cnp,err_Ta_dist,err_Ta_cnp,err_k_dist,err_k_cnp
0.0001,-4.0,185.3679,5.0,191.4383544921875,6.015999794006348,193.3630828857422,5.939999580383301,6.070454492187508,7.995182885742196,1.0159997940063477,0.9399995803833008
0.0002,-3.6989700043360187,184.5403,5.0,189.1060791015625,5.179999828338623,188.2438201904297,5.179999828338623,4.565779101562498,3.7035201904296855,0.17999982833862305,0.17999982833862305
0.0003,-3.5228787452803374,183.7265,5.0,190.5132598876953,5.331999778747559,188.4723663330078,5.179999828338623,6.786759887695325,4.745866333007825,0.3319997787475586,0.17999982833862305
0.0004,-3.3979400086720375,182.9263,5.0,187.56541442871094,5.179999828338623,187.96974182128906,5.179999828338623,4.63911442871094,5.043441821289065,0.17999982833862305,0.17999982833862305
0.0005,-3.3010299956639813,181.3664,5.0,185.02163696289062,5.559999942779541,185.694091796875,5.179999828338623,3.6552369628906263,4.327691796875001,0.559999942779541,0.17999982833862305
0.0006,-3.2218487496163566,180.6062,5.0,185.1546173095703,5.179999828338623,184.01251220703125,5.179999828338623,4.548417309570311,3.406312207031249,0.17999982833862305,0.17999982833862305
0.0007,-3.154901959985743,179.8589,5.0,184.7209930419922,5.25600004196167,183.71580505371094,5.179999828338623,4.862093041992182,3.856905053710932,0.2560000419616699,0.17999982833862305
0.0008,-3.0969100130080562,179.1245,5.0,183.5822296142578,5.416399955749512,183.17471313476562,5.488800048828125,4.457729614257801,4.050213134765613,0.4163999557495117,0.488800048828125
0.0009,-3.0457574905606752,178.4027,5.0,183.08108520507812,5.240799903869629,182.04434204101562,4.898799896240234,4.678385205078115,3.641642041015615,0.2407999038696289,-0.10120010375976562
0.001,-3.0,177.6934,5.0,182.62501525878906,5.433599948883057,181.69264221191406,5.237999439239502,4.931615258789066,3.9992422119140656,0.43359994888305664,0.23799943923950195
0.0011,-2.958607314841775,176.9964,5.0,181.0969696044922,5.216000080108643,180.74232482910156,5.029999732971191,4.100569604492193,3.7459248291015683,0.21600008010864258,0.029999732971191406
0.0012,-2.9208187539523753,176.3116,5.0,180.90884399414062,5.052800178527832,183.11947631835938,5.470000267028809,4.5972439941406265,6.8078763183593765,0.05280017852783203,0.4700002670288086
0.0013,-2.886056647693163,174.9779,5.0,180.01072692871094,5.140000343322754,178.6736297607422,4.86400032043457,5.032826928710932,3.695729760742182,0.1400003433227539,-0.1359996795654297
0.0014,-2.853871964321762,174.3287,5.0,178.99461364746094,4.936800003051758,177.48483276367188,4.990000247955322,4.66591364746094,3.1561327636718772,-0.06319999694824219,-0.009999752044677734
0.0015,-2.8239087409443187,173.691,5.0,178.5684814453125,4.900000095367432,177.2428436279297,5.159999847412109,4.8774814453124975,3.551843627929685,-0.09999990463256836,0.15999984741210938
0.0016,-2.795880017344075,173.0649,5.0,177.7422332763672,4.860799789428711,176.89266967773438,5.063999652862549,4.677333276367193,3.8277696777343806,-0.13920021057128906,0.06399965286254883
0.0017,-2.769551078621726,172.45,5.0,176.9990997314453,5.1479997634887695,176.5175018310547,5.00160026550293,4.549099731445324,4.067501831054699,0.14799976348876953,0.0016002655029296875
0.0018,-2.744727494896694,171.8462,5.0,176.23655700683594,4.99839973449707,175.1472625732422,4.903200149536133,4.390357006835927,3.3010625732421772,-0.0016002655029296875,-0.09679985046386719
0.0019,-2.721246399047171,171.2535,5.0,176.05348205566406,4.990400314331055,174.30360412597656,5.222400188446045,4.79998205566406,3.05010412597656,-0.009599685668945312,0.22240018844604492
0.002,-2.6989700043360187,170.1005,5.0,174.83840942382812,4.784000396728516,173.01673889160156,5.223999977111816,4.737909423828114,2.9162388916015516,-0.21599960327148438,0.2239999771118164
0.0021,-2.677780705266081,169.5361,4.9,174.48365783691406,4.628799915313721,172.4534912109375,5.190400123596191,4.947557836914058,2.9173912109374953,-0.27120008468627965,0.29040012359619105
0.0022,-2.657577319177794,168.981,4.9,173.86619567871094,4.543200492858887,171.81228637695312,5.325999736785889,4.885195678710943,2.8312863769531305,-0.35679950714111364,0.4259997367858883
0.0023,-2.638272163982407,168.436,4.9,172.93182373046875,4.555200099945068,171.1888427734375,5.242000102996826,4.495823730468743,2.752842773437493,-0.344799900054932,0.3420001029968258
0.0024,-2.619788758288394,167.9012,4.9,171.8204345703125,4.99839973449707,170.4022979736328,4.957600116729736,3.9192345703125113,2.501097973632824,0.09839973449706996,0.05760011672973597
0.0025,-2.6020599913279625,167.3762,4.9,171.3758087158203,4.757200241088867,170.06222534179688,4.918800354003906,3.999608715820301,2.6860253417968636,-0.14279975891113317,0.018800354003905895
0.0026,-2.5850266520291822,166.8611,4.9,171.89344787597656,4.484799861907959,169.5186309814453,4.84119987487793,5.032347875976569,2.657530981445319,-0.41520013809204137,-0.05880012512207067
0.0027,-2.5686362358410126,166.3556,4.9,171.03480529785156,4.414400100708008,168.88111877441406,5.035200119018555,4.679205297851553,2.525518774414053,-0.48559989929199254,0.13520011901855433
0.0028,-2.5528419686577806,165.3732,4.9,169.4951171875,4.797599792480469,167.8232879638672,5.13599967956543,4.121917187500003,2.4500879638671904,-0.1024002075195316,0.23599967956542933
0.0029,-2.537602002101044,164.896,4.9,168.74212646484375,4.868800163269043,167.36541748046875,5.0920000076293945,3.8461264648437634,2.4694174804687634,-0.031199836730957387,0.19200000762939418
0.003,-2.5228787452803374,164.4279,4.9,168.6105194091797,4.937600135803223,166.91949462890625,5.011199951171875,4.1826194091796935,2.491594628906256,0.0376001358032223,0.11119995117187464
0.0031,-2.5086383061657274,163.9689,4.9,168.17726135253906,4.888000011444092,166.38522338867188,4.960000038146973,4.208361352539072,2.4163233886718842,-0.011999988555908558,0.0600000381469723
0.0032,-2.494850021680094,163.5188,4.9,168.11524963378906,4.809199810028076,166.17726135253906,5.022799968719482,4.596449633789064,2.6584613525390637,-0.09080018997192418,0.12279996871948207
0.0033,-2.4814860601221125,163.0775,4.9,167.66180419921875,4.875999927520752,166.84716796875,4.800000190734863,4.584304199218764,3.7696679687500136,-0.024000072479248402,-0.09999980926513707
0.0034,-2.468521082957745,162.6449,4.9,166.64366149902344,4.875999927520752,166.21336364746094,5.179999828338623,3.9987614990234306,3.5684636474609306,-0.024000072479248402,0.2799998283386227
0.0035,-2.4559319556497243,162.2208,4.9,165.85035705566406,4.875999927520752,165.39492797851562,5.179999828338623,3.6295570556640655,3.174127978515628,-0.024000072479248402,0.2799998283386227
0.0036,-2.4436974992327127,161.3909,4.8,165.09109497070312,4.875999927520752,164.12745666503906,4.800000190734863,3.700194970703137,2.7365566650390747,0.07599992752075213,1.9073486345888568e-07
0.0037,-2.431798275933005,160.9842,4.8,164.7229766845703,4.875999927520752,163.7042999267578,4.800000190734863,3.7387766845703254,2.7200999267578254,0.07599992752075213,1.9073486345888568e-07
0.0038,-2.42021640338319,160.5855,4.8,164.23880004882812,4.875999927520752,163.50123596191406,4.800000190734863,3.653300048828129,2.9157359619140664,0.07599992752075213,1.9073486345888568e-07
0.0039,-2.408935392973501,160.1946,4.8,163.89231872558594,4.875999927520752,164.0056610107422,5.179999828338623,3.697718725585929,3.811061010742179,0.07599992752075213,0.3799998283386232
0.004,-2.3979400086720375,159.8115,4.8,163.47471618652344,4.935999870300293,162.6006622314453,4.616000175476074,3.6632161865234423,2.7891622314453173,0.13599987030029315,-0.1839998245239256
0.0041,-2.3872161432802645,159.4359,4.8,163.16383361816406,4.723999977111816,162.44024658203125,4.800000190734863,3.7279336181640588,3.0043465820312463,-0.07600002288818342,1.9073486345888568e-07
0.0042,-2.3767507096020997,159.0679,4.8,162.92733764648438,4.723999977111816,161.9581298828125,4.800000190734863,3.8594376464843663,2.8902298828124913,-0.07600002288818342,1.9073486345888568e-07
