Value,Time,E
304.8683,1.9,0.0004
292.0348,2.0,0.0004
280.5749,2.1,0.0004
270.3052,2.2,0.0004
261.0744,2.3,0.0004
252.7562,2.4,0.0004
245.2446,2.5,0.0004
238.45,2.6,0.0004
232.2958,2.7,0.0004
226.7167,2.8,0.0004
221.6562,2.9,0.0004
217.0652,3.0,0.0004
212.9011,3.1,0.0004
209.1266,3.2,0.0004
205.7087,3.3,0.0004
202.6184,3.4,0.0004
199.83,3.5,0.0004
197.3205,3.6,0.0004
195.0696,3.7,0.0004
193.0588,3.8,0.0004
191.2715,3.9,0.0004
189.693,4.0,0.0004
188.3097,4.1,0.0004
187.1094,4.2,0.0004
186.0807,4.3,0.0004
185.2136,4.4,0.0004
184.4987,4.5,0.0004
183.9273,4.6,0.0004
183.4915,4.7,0.0004
183.1839,4.8,0.0004
182.9976,4.9,0.0004
182.9263,5.0,0.0004
182.9641,5.1,0.0004
183.1053,5.2,0.0004
183.3448,5.3,0.0004
183.6775,5.4,0.0004
184.0989,5.5,0.0004
184.6045,5.6,0.0004
185.1902,5.7,0.0004
185.8519,5.8,0.0004
186.586,5.9,0.0004
187.3889,6.0,0.0004
188.257,6.1,0.0004
189.1873,6.2,0.0004
190.1766,6.3,0.0004
191.2219,6.4,0.0004
192.3205,6.5,0.0004
193.4696,6.6,0.0004
194.6668,6.7,0.0004
195.9097,6.8,0.0004
197.1959,6.9,0.0004
198.5233,7.0,0.0004
199.8899,7.1,0.0004
201.2937,7.2,0.0004
202.7328,7.3,0.0004
204.2057,7.4,0.0004
205.7106,7.5,0.0004
207.246,7.6,0.0004
208.8106,7.7,0.0004
210.4029,7.8,0.0004
212.0217,7.9,0.0004
213.6658,8.0,0.0004
215.3342,8.1,0.0004
217.0258,8.2,0.0004
218.7397,8.3,0.0004
220.475,8.4,0.0004
222.2308,8.5,0.0004
224.0064,8.6,0.0004
225.801,8.7,0.0004
227.6141,8.8,0.0004
229.4449,8.9,0.0004
231.2929,9.0,0.0004
233.1576,9.1,0.0004
235.0384,9.2,0.0004
236.9349,9.3,0.0004
238.8466,9.4,0.0004
240.7732,9.5,0.0004
242.7143,9.6,0.0004
244.6695,9.7,0.0004
246.6384,9.8,0.0004
248.6208,9.9,0.0004
250.6165,10.0,0.0004
252.625,10.1,0.0004
254.6462,10.2,0.0004
256.6798,10.3,0.0004
258.7256,10.4,0.0004
260.7835,10.5,0.0004
262.8531,10.6,0.0004
264.9343,10.7,0.0004
267.0269,10.8,0.0004
269.1308,10.9,0.0004
271.2457,11.0,0.0004
273.3716,11.1,0.0004
275.5083,11.2,0.0004
277.6556,11.3,0.0004
279.8135,11.4,0.0004
281.9817,11.5,0.0004
284.1602,11.6,0.0004
286.3489,11.7,0.0004
288.5475,11.8,0.0004
290.7561,11.9,0.0004
292.9745,12.0,0.0004
295.2026,12.1,0.0004
297.4403,12.2,0.0004
299.6875,12.3,0.0004
301.9441,12.4,0.0004
304.2101,12.5,0.0004
306.4852,12.6,0.0004
308.7696,12.7,0.0004
311.0629,12.8,0.0004
313.3653,12.9,0.0004
315.6765,13.0,0.0004
317.9965,13.1,0.0004
320.3253,13.2,0.0004
322.6628,13.3,0.0004
325.0088,13.4,0.0004
327.3633,13.5,0.0004
329.7263,13.6,0.0004
332.0976,13.7,0.0004
334.4772,13.8,0.0004
336.8651,13.9,0.0004
339.2611,14.0,0.0004
341.6653,14.1,0.0004
344.0775,14.2,0.0004
346.4976,14.3,0.0004
348.9257,14.4,0.0004
351.3617,14.5,0.0004
353.8055,14.6,0.0004
356.257,14.7,0.0004
358.7162,14.8,0.0004
361.1831,14.9,0.0004
363.6576,15.0,0.0004
366.1396,15.1,0.0004
368.6292,15.2,0.0004
371.1262,15.3,0.0004
373.6306,15.4,0.0004
376.1424,15.5,0.0004
378.6616,15.6,0.0004
381.188,15.7,0.0004
383.7217,15.8,0.0004
386.2626,15.9,0.0004
388.8107,16.0,0.0004
391.366,16.1,0.0004
393.9284,16.2,0.0004
396.4979,16.3,0.0004
399.0744,16.4,0.0004
401.658,16.5,0.0004
404.2487,16.6,0.0004
406.8463,16.7,0.0004
409.4509,16.8,0.0004
412.0625,16.9,0.0004
414.681,17.0,0.0004
417.3065,17.1,0.0004
419.9389,17.2,0.0004
422.5782,17.3,0.0004
425.2243,17.4,0.0004
427.8774,17.5,0.0004
430.5374,17.6,0.0004
433.2042,17.7,0.0004
435.878,17.8,0.0004
438.5586,17.9,0.0004
441.2461,18.0,0.0004
443.9405,18.1,0.0004
446.6417,18.2,0.0004
449.3499,18.3,0.0004
452.065,18.4,0.0004
454.7871,18.5,0.0004
457.516,18.6,0.0004
460.252,18.7,0.0004
462.9949,18.8,0.0004
465.7448,18.9,0.0004
468.5017,19.0,0.0004
471.2657,19.1,0.0004
474.0367,19.2,0.0004
476.8149,19.3,0.0004
479.6002,19.4,0.0004
482.3927,19.5,0.0004
485.1923,19.6,0.0004
487.9992,19.7,0.0004
490.8135,19.8,0.0004
493.635,19.9,0.0004
496.4639,20.0,0.0004
543.5085,1.0,0.0005
496.1981,1.1,0.0005
456.9778,1.2,0.0005
423.9859,1.3,0.0005
395.8926,1.4,0.0005
371.723,1.5,0.0005
350.7463,1.6,0.0005
332.4037,1.7,0.0005
316.2605,1.8,0.0005
301.9738,1.9,0.0005
289.2694,2.0,0.0005
277.9253,2.1,0.0005
267.7599,2.2,0.0005
258.6232,2.3,0.0005
250.3903,2.4,0.0005
242.9562,2.5,0.0005
236.2322,2.6,0.0005
230.1424,2.7,0.0005
224.6222,2.8,0.0005
219.6154,2.9,0.0005
215.0738,3.0,0.0005
210.9549,3.1,0.0005
207.2218,3.2,0.0005
203.8419,3.3,0.0005
200.7865,3.4,0.0005
198.0301,3.5,0.0005
195.55,3.6,0.0005
193.3259,3.7,0.0005
191.3397,3.8,0.0005
189.5749,3.9,0.0005
188.0168,4.0,0.0005
186.6521,4.1,0.0005
185.4685,4.2,0.0005
184.4551,4.3,0.0005
183.6015,4.4,0.0005
182.8987,4.5,0.0005
182.3379,4.6,0.0005
181.9114,4.7,0.0005
181.6117,4.8,0.0005
181.4322,4.9,0.0005
181.3664,5.0,0.0005
181.4084,5.1,0.0005
181.5527,5.2,0.0005
181.794,5.3,0.0005
182.1275,5.4,0.0005
182.5485,5.5,0.0005
183.0526,5.6,0.0005
183.6356,5.7,0.0005
184.2936,5.8,0.0005
185.0227,5.9,0.0005
185.8194,6.0,0.0005
186.6803,6.1,0.0005
187.6021,6.2,0.0005
188.5817,6.3,0.0005
189.6161,6.4,0.0005
190.7026,6.5,0.0005
191.8384,6.6,0.0005
193.0209,6.7,0.0005
194.2479,6.8,0.0005
195.5169,6.9,0.0005
196.8257,7.0,0.0005
198.1724,7.1,0.0005
199.555,7.2,0.0005
200.9717,7.3,0.0005
202.4207,7.4,0.0005
203.9003,7.5,0.0005
205.4092,7.6,0.0005
206.9458,7.7,0.0005
208.5088,7.8,0.0005
210.0969,7.9,0.0005
211.7091,8.0,0.0005
213.3441,8.1,0.0005
215.001,8.2,0.0005
216.6788,8.3,0.0005
218.3767,8.4,0.0005
220.0939,8.5,0.0005
221.8295,8.6,0.0005
223.5828,8.7,0.0005
225.3533,8.8,0.0005
227.1402,8.9,0.0005
228.9431,9.0,0.0005
230.7613,9.1,0.0005
232.5945,9.2,0.0005
234.4421,9.3,0.0005
236.3038,9.4,0.0005
238.1791,9.5,0.0005
240.0677,9.6,0.0005
241.9692,9.7,0.0005
243.8833,9.8,0.0005
245.8097,9.9,0.0005
247.7481,10.0,0.0005
249.6984,10.1,0.0005
251.6601,10.2,0.0005
253.6332,10.3,0.0005
255.6174,10.4,0.0005
257.6125,10.5,0.0005
259.6183,10.6,0.0005
261.6346,10.7,0.0005
263.6612,10.8,0.0005
265.6981,10.9,0.0005
267.745,11.0,0.0005
269.8019,11.1,0.0005
271.8684,11.2,0.0005
273.9447,11.3,0.0005
276.0305,11.4,0.0005
278.1256,11.5,0.0005
280.2301,11.6,0.0005
282.3437,11.7,0.0005
284.4664,11.8,0.0005
286.5981,11.9,0.0005
288.7387,12.0,0.0005
290.8881,12.1,0.0005
293.0461,12.2,0.0005
295.2128,12.3,0.0005
297.3881,12.4,0.0005
299.5718,12.5,0.0005
301.7638,12.6,0.0005
303.9642,12.7,0.0005
306.1729,12.8,0.0005
308.3897,12.9,0.0005
310.6146,13.0,0.0005
312.8476,13.1,0.0005
315.0885,13.2,0.0005
317.3374,13.3,0.0005
319.5942,13.4,0.0005
321.8588,13.5,0.0005
324.1312,13.6,0.0005
326.4113,13.7,0.0005
328.699,13.8,0.0005
330.9945,13.9,0.0005
333.2975,14.0,0.0005
335.6081,14.1,0.0005
337.9262,14.2,0.0005
340.2518,14.3,0.0005
342.5849,14.4,0.0005
344.9254,14.5,0.0005
347.2733,14.6,0.0005
349.6287,14.7,0.0005
351.9914,14.8,0.0005
354.3615,14.9,0.0005
356.7389,15.0,0.0005
359.1237,15.1,0.0005
361.5158,15.2,0.0005
363.9152,15.3,0.0005
366.322,15.4,0.0005
368.7361,15.5,0.0005
371.1576,15.6,0.0005
373.5865,15.7,0.0005
376.0227,15.8,0.0005
378.4663,15.9,0.0005
380.9174,16.0,0.0005
383.3759,16.1,0.0005
385.8419,16.2,0.0005
388.3154,16.3,0.0005
390.7965,16.4,0.0005
393.2852,16.5,0.0005
395.7815,16.6,0.0005
398.2856,16.7,0.0005
400.7975,16.8,0.0005
403.3173,16.9,0.0005
405.8449,17.0,0.0005
408.3806,17.1,0.0005
410.9244,17.2,0.0005
413.4764,17.3,0.0005
416.0366,17.4,0.0005
418.6053,17.5,0.0005
421.1825,17.6,0.0005
423.7683,17.7,0.0005
426.3629,17.8,0.0005
428.9664,17.9,0.0005
431.579,18.0,0.0005
434.2008,18.1,0.0005
436.832,18.2,0.0005
439.4728,18.3,0.0005
442.1234,18.4,0.0005
444.784,18.5,0.0005
447.4548,18.6,0.0005
450.136,18.7,0.0005
452.8279,18.8,0.0005
455.5308,18.9,0.0005
458.245,19.0,0.0005
460.9708,19.1,0.0005
463.7084,19.2,0.0005
466.4583,19.3,0.0005
469.2209,19.4,0.0005
471.9965,19.5,0.0005
474.7856,19.6,0.0005
477.5887,19.7,0.0005
480.4062,19.8,0.0005
483.2388,19.9,0.0005
486.087,20.0,0.0005
540.909,1.0,0.0006
493.8285,1.1,0.0006
454.7992,1.2,0.0006
421.9682,1.3,0.0006
394.0123,1.4,0.0006
369.9613,1.5,0.0006
349.0877,1.6,0.0006
330.8355,1.7,0.0006
314.7721,1.8,0.0006
300.5564,1.9,0.0006
287.9153,2.0,0.0006
276.628,2.1,0.0006
266.5137,2.2,0.0006
257.4233,2.3,0.0006
249.2322,2.4,0.0006
241.8362,2.5,0.0006
235.1467,2.6,0.0006
229.0886,2.7,0.0006
223.5972,2.8,0.0006
218.6169,2.9,0.0006
214.0995,3.0,0.0006
210.0028,3.1,0.0006
206.2901,3.2,0.0006
202.929,3.3,0.0006
199.8908,3.4,0.0006
197.1501,3.5,0.0006
194.6845,3.6,0.0006
192.4737,3.7,0.0006
190.4996,3.8,0.0006
188.746,3.9,0.0006
187.198,4.0,0.0006
185.8425,4.1,0.0006
184.6673,4.2,0.0006
183.6614,4.3,0.0006
182.8147,4.4,0.0006
182.1179,4.5,0.0006
181.5626,4.6,0.0006
181.1407,4.7,0.0006
180.8452,4.8,0.0006
180.6691,4.9,0.0006
180.6062,5.0,0.0006
180.6505,5.1,0.0006
180.7965,5.2,0.0006
181.0391,5.3,0.0006
181.3732,5.4,0.0006
181.7943,5.5,0.0006
182.2979,5.6,0.0006
182.8799,5.7,0.0006
183.5363,5.8,0.0006
184.2634,5.9,0.0006
185.0574,6.0,0.0006
185.9151,6.1,0.0006
186.8332,6.2,0.0006
187.8084,6.3,0.0006
188.838,6.4,0.0006
189.9189,6.5,0.0006
191.0486,6.6,0.0006
192.2245,6.7,0.0006
193.4442,6.8,0.0006
194.7053,6.9,0.0006
196.0057,7.0,0.0006
197.3433,7.1,0.0006
198.7161,7.2,0.0006
200.1224,7.3,0.0006
201.5604,7.4,0.0006
203.0285,7.5,0.0006
204.5251,7.6,0.0006
206.0488,7.7,0.0006
207.5983,7.8,0.0006
209.1724,7.9,0.0006
210.7698,8.0,0.0006
212.3896,8.1,0.0006
214.0306,8.2,0.0006
215.6919,8.3,0.0006
217.3727,8.4,0.0006
219.0722,8.5,0.0006
220.7895,8.6,0.0006
222.5241,8.7,0.0006
224.2752,8.8,0.0006
226.0422,8.9,0.0006
227.8246,9.0,0.0006
229.6219,9.1,0.0006
231.4336,9.2,0.0006
233.2593,9.3,0.0006
235.0984,9.4,0.0006
236.9507,9.5,0.0006
238.8158,9.6,0.0006
240.6934,9.7,0.0006
242.5831,9.8,0.0006
244.4847,9.9,0.0006
246.3979,10.0,0.0006
248.3224,10.1,0.0006
250.2581,10.2,0.0006
252.2046,10.3,0.0006
254.1619,10.4,0.0006
256.1296,10.5,0.0006
258.1077,10.6,0.0006
260.0959,10.7,0.0006
262.0942,10.8,0.0006
