method,E,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE,covered_frac,err_Ta_c_pct,err_k_c
Branch-interp,0.0174,81.11480000000002,10.7,80.11101885714285,10.7,1.5181726191737077,1.0,1.237482115294819,0.0
PCHIP-1D,0.0174,81.11480000000002,10.7,81.13758923453902,10.646797552694107,,,0.028095038807962602,0.05320244730589252
PCHIP-2D,0.0186,77.2257,11.0,77.22808694857866,11.0,0.15217549257834595,1.0,0.003090873347422196,0.0
Branch-interp,0.0186,77.2257,11.0,77.24472628903685,11.0,0.07853617730494737,1.0,0.024637250341319472,0.0
PCHIP-1D,0.0186,77.2257,11.0,77.22580609774249,10.94996063420308,,,0.00013738657271833432,0.05003936579691981
PCHIP-2D,0.019,75.78650000000002,11.1,76.01859099280854,11.1,0.4334235593727989,1.0,0.3062431868585014,0.0
Branch-interp,0.019,75.78650000000002,11.1,76.32460955555555,11.0,0.9148933767986412,1.0,0.7100335225344034,0.09999999999999964
PCHIP-1D,0.019,75.78650000000002,11.1,76.02256064462587,11.027337310409928,,,0.31148112741168354,0.0726626895900715
PCHIP-2D,0.0195,74.56459999999998,11.2,74.43760785674635,11.2,0.24574753507660974,1.0,0.17031157312401568,0.0
Branch-interp,0.0195,74.56459999999998,11.2,74.17106326530612,11.3,0.6970253726356379,1.0,0.5277795826623688,0.10000000000000142
PCHIP-1D,0.0195,74.56459999999998,11.2,74.43860035580188,11.276437884292262,,,0.16898051380696,0.07643788429226284
PCHIP-2D,0.0203,72.12160000000002,11.5,72.062951803753,11.5,0.2562038945433967,1.0,0.08131849022625648,0.0
Branch-interp,0.0203,72.12160000000002,11.5,72.14523202044997,11.5,0.18893161864481697,1.0,0.03276691095310813,0.0
PCHIP-1D,0.0203,72.12160000000002,11.5,72.05506018717661,11.531601844684735,,,0.0922605888158401,0.031601844684734814
PCHIP-2D,0.0218,68.56349999999999,12.1,68.54506255187647,12.1,0.16988473969005688,1.0,0.026891054458311192,0.0
Branch-interp,0.0218,68.56349999999999,12.1,68.57803476414996,12.1,0.08447429411859661,1.0,0.02119898218435612,0.0
PCHIP-1D,0.0218,68.56349999999999,12.1,68.53988195102788,12.058461320040557,,,0.0344469710153561,0.041538679959442604
PCHIP-2D,0.0239,64.71120000000002,13.1,64.68762862251383,13.1,0.09010847027198253,1.0,0.036425498964931524,0.0
Branch-interp,0.0239,64.71120000000002,13.1,64.72671400602069,13.1,0.03473578663415554,1.0,0.02397422087778711,0.0
PCHIP-1D,0.0239,64.71120000000002,13.1,64.7145963874507,13.082584831950399,,,0.005248531089940833,0.017415168049600638
PCHIP-2D,0.0256,62.27359999999999,14.2,62.21514664396503,14.2,0.0918684503403349,1.0,0.09386538763610508,0.0
Branch-interp,0.0256,62.27359999999999,14.2,62.279092357201165,14.2,0.033028212588613014,1.0,0.008819720075892157,0.0
PCHIP-1D,0.0256,62.27359999999999,14.2,62.262370397775484,14.230818356660384,,,0.018032685157920447,0.030818356660384794
PCHIP-2D,0.0262,61.57429999999999,14.6,61.61997016204557,14.6,0.27712145988745884,1.0,0.07417081809388826,0.0
Branch-interp,0.0262,61.57429999999999,14.6,61.58812517214902,14.6,0.03426919213948272,1.0,0.022452828776020617,0.0
PCHIP-1D,0.0262,61.57429999999999,14.6,61.53254873704705,14.691513701378586,,,0.06780631359664113,0.09151370137858628
PCHIP-2D,0.0269,60.85369999999999,15.0,60.91486294895002,15.1,0.19999007151124001,1.0,0.10050818430107356,0.09999999999999964
Branch-interp,0.0269,60.85369999999999,15.0,60.82612811290425,15.0,0.1729747511836838,1.0,0.045308480989225686,0.0
PCHIP-1D,0.0269,60.85369999999999,15.0,60.81401845532634,15.071567760893585,,,0.0652081051335407,0.07156776089358452
PCHIP-2D,0.0291,57.93199999999999,12.5,58.002322609430024,12.4,0.21414212363014914,1.0,0.12138819552240943,0.09999999999999964
Branch-interp,0.0291,57.93199999999999,12.5,58.006579803987876,12.4,0.23522552075924363,1.0,0.12873680174667612,0.09999999999999964
PCHIP-1D,0.0291,57.93199999999999,12.5,58.001642554417735,12.429889397930529,,,0.12021431060165177,0.07011060206947128
PCHIP-2D,0.0309,56.150600000000004,13.1,56.08812330760471,13.1,0.1962790240746051,1.0,0.11126629527608012,0.0
Branch-interp,0.0309,56.150600000000004,13.1,56.17977352941177,13.1,0.10693540111563289,1.0,0.05195586407227282,0.0
PCHIP-1D,0.0309,56.150600000000004,13.1,56.059019463128685,13.042532302472614,,,0.16309805571324,0.05746769752738601
PCHIP-2D,0.0311,55.893200000000014,4.8,55.871256071107446,4.8,0.26971247540586507,1.0,0.03926046261900629,0.0
Branch-interp,0.0311,55.893200000000014,4.8,56.17977352941177,13.1,0.9271819508789686,1.0,0.5127162685474307,8.3
PCHIP-1D,0.0311,55.893200000000014,4.8,55.811905322938905,12.620765344306585,,,0.14544645334514383,7.820765344306586
PCHIP-2D,0.0343,51.86110000000001,5.0,51.892202205673556,5.0,1.1280752182070066,1.0,0.059972128770025,0.0
Branch-interp,0.0343,51.86110000000001,5.0,51.99068771583023,5.0,0.5266321412017093,0.3890020366598778,0.2498745993243956,0.0
PCHIP-1D,0.0343,51.86110000000001,5.0,51.898929015059636,4.933414096509944,,,0.07294294771924559,0.066585903490056
PCHIP-2D,0.0557,42.2989,12.5,42.52033368930775,12.8,0.353437600901131,1.0,0.5234975124831731,0.3000000000000007
Branch-interp,0.0557,42.2989,12.5,42.67501296278093,12.6,0.4451379354970836,0.3890020366598778,0.8891790632402419,0.09999999999999964
PCHIP-1D,0.0557,42.2989,12.5,42.37677058622048,12.656276169164045,,,0.1840960077460041,0.15627616916404463
PCHIP-2D,0.0629,39.591899999999995,8.1,39.56829688311843,8.1,0.5566712430281203,1.0,0.05961602469587435,0.0
