split,window_id,E,log10E,branch_local_id,center_pred_s,center_true_s,window_half_width,baseline_mae,baseline_rmse
train,478,0.0986,-1.0061231,0,0.01,0.02,0.16,0.013744108,0.015815994
train,479,0.1204,-0.9193735,0,0.01,0.02,0.16,0.02000799,0.022609293
train,480,0.1245,-0.90483063,0,0.01,0.02,0.16,0.021251112,0.024021292
train,481,0.1286,-0.89075905,0,0.01,0.02,0.16,0.022402812,0.025244376
train,482,0.1327,-0.8771291,0,0.01,0.02,0.16,0.023298329,0.026149245
train,483,0.1367,-0.86423147,0,0.01,0.02,0.16,0.024046289,0.026830971
train,484,0.1408,-0.85139734,0,0.01,0.02,0.16,0.024621217,0.027265016
train,485,0.1531,-0.8150248,0,0.01,0.02,0.16,0.023328874,0.027174849
train,486,0.1571,-0.8038238,0,0.01,0.02,0.16,0.018231481,0.020739663
train,487,0.1653,-0.78172714,0,0.01,0.02,0.16,0.014924706,0.01690798
train,488,0.1694,-0.7710866,0,0.01,0.02,0.16,0.015328304,0.017350553
train,489,0.1735,-0.7607005,0,0.01,0.02,0.16,0.015716685,0.017742233
train,490,0.1776,-0.75055707,0,0.01,0.02,0.16,0.016328106,0.018226983
train,491,0.1898,-0.72170377,0,0.01,0.02,0.16,0.017750487,0.018998966
train,492,0.1939,-0.7124222,0,0.01,0.02,0.16,0.018110702,0.019168343
train,493,0.198,-0.7033348,0,0.01,0.02,0.16,0.018392866,0.019333376
train,494,0.202,-0.6946486,0,0.01,0.02,0.16,0.015647251,0.018479224
train,495,0.2061,-0.685922,0,0.01,0.02,0.16,0.01652803,0.019872973
train,496,0.2143,-0.66897786,0,0.01,0.02,0.16,0.017424354,0.020865146
train,497,0.2184,-0.66074735,0,0.01,0.02,0.16,0.017715642,0.02120092
train,498,0.2224,-0.65286523,0,0.01,0.02,0.16,0.017969374,0.021472737
train,499,0.2265,-0.6449318,0,0.01,0.02,0.16,0.01818994,0.02166106
train,500,0.2347,-0.6294869,0,0.01,0.02,0.16,0.018528149,0.021840442
train,501,0.2429,-0.61457247,0,0.01,0.02,0.16,0.018717645,0.021880839
train,502,0.2469,-0.6074789,0,0.01,0.02,0.16,0.018763894,0.021885244
train,503,0.251,-0.6003263,0,0.01,0.02,0.16,0.018865744,0.021873584
train,504,0.2551,-0.59328955,0,0.01,0.02,0.16,0.018976202,0.021925125
train,505,0.2592,-0.586365,0,0.01,0.02,0.16,0.018959109,0.021852225
train,506,0.2633,-0.57954913,0,0.01,0.02,0.16,0.01899886,0.021830112
train,507,0.2673,-0.573001,0,0.01,0.02,0.16,0.019085024,0.021890525
train,508,0.2714,-0.56639016,0,0.01,0.02,0.16,0.019199941,0.021978067
train,509,0.2755,-0.5598784,0,0.01,0.02,0.16,0.019184936,0.02187758
train,510,0.2796,-0.5534628,0,0.01,0.02,0.16,0.019319216,0.021952895
train,511,0.2918,-0.53491473,0,0.01,0.02,0.16,0.01958595,0.021923373
train,512,0.2959,-0.528855,0,0.01,0.02,0.16,0.017147738,0.020381363
train,513,0.302,-0.51999307,0,0.01,0.02,0.16,0.017344244,0.020695949
train,514,0.3256,-0.4873156,0,0.01,0.02,0.16,0.016513648,0.020034915
train,515,0.3425,-0.46533942,0,0.01,0.02,0.16,0.016699936,0.019501112
train,516,0.351,-0.45469287,0,0.01,0.02,0.16,0.016930727,0.019776806
train,517,0.3594,-0.44442192,0,0.01,0.02,0.16,0.017660322,0.020764444
train,518,0.3679,-0.4342702,0,0.01,0.02,0.16,0.018203435,0.021365708
train,519,0.3764,-0.42435038,0,0.01,0.02,0.16,0.014436388,0.016907895
train,520,0.3848,-0.41476494,0,0.01,0.02,0.16,0.015221826,0.018260706
train,521,0.4102,-0.38700435,0,0.01,0.02,0.16,0.016244255,0.019470304
train,522,0.4186,-0.37820077,0,0.01,0.02,0.16,0.01708066,0.020439042
train,523,0.4355,-0.36101183,0,0.01,0.01,0.16,0.019186523,0.02303583
train,524,0.444,-0.35261703,0,0.01,0.01,0.16,0.019744223,0.023704149
train,525,0.4524,-0.34447742,0,0.01,0.01,0.16,0.020049844,0.024074344
train,526,0.4694,-0.3284569,0,0.01,0.01,0.16,0.020142052,0.024258878
train,527,0.4778,-0.32075384,0,0.01,0.02,0.16,0.019178633,0.022604747
train,528,0.4947,-0.3056581,0,0.01,0.02,0.16,0.019101625,0.022424273
train,529,0.5032,-0.29825938,0,0.01,0.02,0.16,0.018713782,0.022238553
train,530,0.5041,-0.2974833,0,0.01,0.02,0.16,0.018660482,0.02220006
train,531,0.5201,-0.28391314,0,0.01,0.02,0.16,0.018237934,0.02220866
train,532,0.5539,-0.25656864,0,0.01,0.02,0.16,0.01805449,0.022134293
train,533,0.5708,-0.24351604,0,0.01,0.02,0.16,0.017886749,0.021893473
train,534,0.5793,-0.23709647,0,0.01,0.02,0.16,0.015917644,0.01880826
train,535,0.5877,-0.2308443,0,0.01,0.02,0.16,0.016725801,0.019877028
train,536,0.6046,-0.21853186,0,0.01,0.02,0.16,0.01829063,0.021376288
train,537,0.6215,-0.20655887,0,0.01,0.02,0.16,0.019523574,0.022657314
train,538,0.63,-0.20065945,0,0.01,0.02,0.16,0.01982668,0.022972101
train,539,0.6385,-0.1948391,0,0.01,0.02,0.16,0.020414358,0.023625301
train,540,0.6469,-0.18916285,0,0.01,0.02,0.16,0.020600757,0.023822464
train,541,0.6638,-0.17796275,0,0.01,0.02,0.16,0.021092094,0.024374124
train,542,0.6723,-0.1724369,0,0.01,0.02,0.16,0.021153284,0.024439938
train,543,0.6807,-0.16704425,0,0.01,0.02,0.16,0.021184938,0.024476096
train,544,0.6892,-0.16165473,0,0.01,0.02,0.16,0.021331334,0.024658134
train,545,0.6976,-0.15639353,0,0.01,0.02,0.16,0.021287173,0.024613397
train,546,0.7061,-0.15113379,0,0.01,0.02,0.16,0.021209136,0.024533084
train,547,0.738,-0.13194364,0,0.01,0.02,0.16,0.02077767,0.024097282
train,548,0.7486,-0.12575018,0,0.01,0.02,0.16,0.02059626,0.023915546
train,549,0.7699,-0.11356568,0,0.01,0.02,0.16,0.020766377,0.024142684
train,550,0.8125,-0.09017663,0,0.01,0.02,0.16,0.020858565,0.024011733
train,551,0.8337,-0.0789902,0,0.01,0.02,0.16,0.020757403,0.023865642
train,552,0.8444,-0.07345177,0,0.01,0.02,0.16,0.020683242,0.02378826
train,553,0.855,-0.06803389,0,0.01,0.02,0.16,0.020594392,0.023706216
train,554,0.8657,-0.06263258,0,0.01,0.02,0.16,0.020544969,0.023674224
train,555,0.8763,-0.05734719,0,0.01,0.02,0.16,0.020508494,0.023665447
train,556,0.8869,-0.052125346,0,0.01,0.02,0.16,0.02045636,0.023622762
train,557,0.8976,-0.046917155,0,0.01,0.02,0.16,0.020389637,0.023609256
train,558,0.9082,-0.041818503,0,0.01,0.02,0.16,0.020300172,0.023588669
train,559,1.1102,0.045401223,0,0.01,0.02,0.16,0.023021534,0.026460852
train,560,1.5143,0.18021192,0,0.01,0.02,0.16,0.01982478,0.022962818
train,561,1.7163,0.2345932,0,0.01,0.02,0.16,0.019020755,0.02237326
train,562,1.9184,0.28293917,0,0.01,0.02,0.16,0.018210696,0.021747435
train,563,2.3224,0.36593702,0,0.01,0.02,0.16,0.017224139,0.02088503
train,564,2.5245,0.40217537,0,0.01,0.02,0.16,0.017100364,0.020536352
train,565,2.5351,0.4039951,0,0.01,0.02,0.16,0.017091958,0.020509766
train,566,2.5458,0.40582427,0,0.01,0.02,0.16,0.017071676,0.02048486
train,567,2.567,0.40942585,0,0.01,0.02,0.16,0.017053237,0.020429414
train,568,2.5777,0.41123238,0,0.01,0.02,0.16,0.017043756,0.020401275
train,569,2.5883,0.41301462,0,0.01,0.02,0.16,0.01703339,0.020371852
train,570,2.5989,0.41478956,0,0.01,0.02,0.16,0.01702269,0.020341681
train,571,2.6308,0.42008784,0,0.01,0.02,0.16,0.016989406,0.020249683
train,572,2.6521,0.4235899,0,0.01,0.02,0.16,0.016967671,0.020186834
train,573,2.6627,0.42532223,0,0.01,0.02,0.16,0.016959399,0.020154037
train,574,2.6733,0.4270477,0,0.01,0.02,0.16,0.016951114,0.020121345
train,575,2.684,0.42878252,0,0.01,0.02,0.16,0.016943386,0.020089649
train,576,2.6946,0.4304943,0,0.01,0.02,0.16,0.016934784,0.020056434
train,577,2.7159,0.43391377,0,0.01,0.02,0.16,0.016916953,0.019989371
train,578,2.7265,0.4356055,0,0.01,0.02,0.16,0.015725767,0.017773522
train,579,3.1306,0.49562758,0,0.01,0.02,0.16,0.015757956,0.017665925
train,580,3.3327,0.5227962,0,0.01,0.02,0.16,0.015767846,0.017611763
train,581,3.5347,0.54835254,0,0.01,0.02,0.16,0.015782636,0.017576586
train,582,3.9388,0.5953639,0,0.01,0.02,0.16,0.015822962,0.017548406
train,583,4.1408,0.61708426,0,0.01,0.02,0.16,0.015846858,0.017549612
train,584,4.3429,0.63777983,0,0.01,0.02,0.16,0.01587153,0.01755664
train,585,4.5449,0.65752435,0,0.01,0.02,0.16,0.015897436,0.01756954
train,586,4.7469,0.6764101,0,0.01,0.02,0.16,0.015923597,0.017585967
train,587,5.151,0.71189153,0,0.01,0.02,0.16,0.015976971,0.01762794
train,588,5.3531,0.72860533,0,0.01,0.02,0.16,0.01600315,0.017651126
train,589,5.5551,0.7446919,0,0.01,0.02,0.16,0.016028946,0.017675314
train,590,5.7571,0.7602038,0,0.01,0.02,0.16,0.016054744,0.017700953
train,591,5.9592,0.77518797,0,0.01,0.02,0.16,0.016080003,0.01772693
train,592,6.5653,0.8172546,0,0.01,0.02,0.16,0.016153798,0.01780757
train,593,6.7673,0.8304154,0,0.01,0.02,0.16,0.016177498,0.017834628
train,594,6.9694,0.8431954,0,0.01,0.02,0.16,0.016200854,0.017861811
train,595,7.3735,0.8676737,0,0.01,0.02,0.16,0.016245928,0.017915374
train,596,7.9796,0.9019811,0,0.01,0.02,0.16,0.016310478,0.017994344
train,597,8.1816,0.9128382,0,0.01,0.02,0.16,0.016331026,0.018020028
train,598,8.3837,0.92343575,0,0.01,0.02,0.16,0.016351318,0.018045498
train,599,8.5857,0.9337757,0,0.01,0.02,0.16,0.016371507,0.018071193
train,600,8.9898,0.95375,0,0.01,0.02,0.16,0.016410368,0.018120982
train,601,9.1918,0.96340054,0,0.01,0.02,0.16,0.016429188,0.018145239
train,602,9.3939,0.9728459,0,0.01,0.02,0.16,0.016447622,0.01816923
train,603,9.798,0.99113744,0,0.01,0.02,0.16,0.016483638,0.018216403
