E,Ta_c_true,k_c_true,Ta_c_base,k_c_base,curve_base,Ta_c_marl,k_c_marl,curve_marl
0.0002,184.5403,5.0,192.10948,5.56,3.146714980601391,192.10947585551656,5.56,3.196193839595307
0.0003,183.7265,5.0,189.46477,4.609999999999999,2.249648965591072,189.4647700986966,4.609999999999999,2.247321357698814
0.0009,178.4027,5.0,180.36166,4.601478269634505,1.6281166828951157,180.36167630365748,4.601478269634505,1.6383951027153594
0.0014,174.3287,5.0,176.44032,5.109355032685561,1.0899479732872637,176.44032687876603,5.109355032685561,1.073760989093696
0.0015,173.691,5.0,175.58469,5.0865073811162835,0.9689004007898744,175.58468615081452,5.0865073811162835,0.9315228935229193
0.0034,162.6449,4.9,164.17188,4.609999999999999,1.0830818884427438,164.17187101591867,4.609999999999999,1.0751484483782918
0.0037,160.9842,4.8,162.83824,5.18,0.8120877036581946,162.83823805688996,5.18,0.8230275032963157
0.0052,155.1319,4.7,156.11694,4.71,0.7463430943708727,156.11694748401735,4.71,0.7306639153464319
0.0055,154.2701,4.7,155.42921,4.383781806158927,0.48115412270441454,155.42921459932313,4.383781806158927,0.5851194519113904
0.0066,151.097,4.5,150.93758,9.62568180600643,0.7962832771145709,150.87416208303,9.62568180600643,0.782307864845744
0.0071,145.1238,9.6,147.39731,9.93,1.2697686562014607,147.39731799527996,9.93,1.2695497581069437
0.0097,121.2745,9.5,120.85428,9.422,1.0334275786331566,120.39075613266536,9.422,1.0240090204493741
0.0103,116.9699,9.5,116.78657,9.455030439235827,0.5237357523491714,116.31564628407851,9.455030439235827,0.5333209515039204
0.0119,106.7607,9.6,106.21728,9.708907232670546,1.2248073045933272,106.20278001225653,9.708907232670546,1.2414507680841884
0.0124,103.5658,9.6,105.30051,10.004,2.2550166494836454,105.06154338504436,9.885,2.2760942639424875
0.0127,101.88,9.7,102.37156,9.93,2.0943397051886183,102.37155756683615,9.93,2.060324319748359
0.0156,87.7727,10.2,87.513115,10.238832451078201,0.3129772052951863,87.51311349580068,10.238832451078201,0.3046490472721478
0.0174,81.1148,10.7,79.824875,10.664,1.554615399775209,79.82486841276078,10.664,1.515777519736313
0.0186,77.2257,11.0,76.90231,10.96320972987445,0.4802766251078032,76.34136585532268,10.77420972987445,0.45923300889523205
0.019,75.7865,11.1,76.120445,11.238,0.6559976393367907,75.59156772376954,10.923,0.6209501957989346
0.0195,74.5646,11.2,74.79998,11.474,1.0923965058179745,74.49226651218149,11.474,1.0843403635757807
0.0203,72.1216,11.5,72.05937,11.50321429351504,0.4788901541274368,71.76823394786024,11.50321429351504,0.46390470213416235
0.0218,68.5635,12.1,68.54298,12.038439249830711,0.270713135534876,68.8118566401199,12.125928928403999,0.4203134422384017
0.0239,64.7112,13.1,64.6394,13.085142289412218,0.16331304994957652,65.1379063987951,13.161129736781314,0.1901225586874113
0.0256,62.2736,14.2,62.11442,14.23764162754926,0.2465808742572555,62.2909226940955,14.302387227239718,0.26621197334997465
0.0262,61.5743,14.6,61.489967,14.522862325479405,0.25995456252744703,61.658213812292885,14.644576496024309,0.2779984003779765
0.0269,60.8537,15.0,60.784206,14.983864866240456,0.3431287306194378,60.637000188848056,14.983864866240456,0.34047616281907894
0.0291,57.932,12.5,57.79337,12.509037779222831,0.36404520857088757,57.79336932819571,12.509037779222831,0.3601825200137217
0.0309,56.1506,13.1,56.000782,13.336,0.6022055425581792,56.00078241340108,13.336,0.5722897542601815
0.0311,55.8932,4.8,55.907276,13.2,0.5461594908496711,55.907278098996656,13.2,0.48420105075330344
0.0343,51.8611,5.0,51.566734,4.830204277281574,2.372850124182118,51.566731230192154,4.830204277281574,2.5384950655381107
0.0557,42.2989,12.5,43.85654,10.31,2.5715231168419046,43.85654169443259,10.31,2.610589246143458
0.0629,39.5919,8.1,40.145626,9.17,4.1710185376932465,40.14562538215233,9.17,4.073064278753958
0.0714,35.8881,8.2,36.983887,9.36,3.189155888314274,36.98388716289121,9.36,3.1175267558440978
0.0914,30.8016,6.0,31.545128,5.94,1.7168787142064479,31.545128027801205,5.94,1.7304810701397808
