E,split,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE,Ta_c_old,k_c_old,Ta_c_pchip,k_c_pchip
0.0001,val,185.3679,5.0,191.70567,9.17,25.043579474621108,193.3630828857422,5.939999580383301,192.6339446394749,5.0
0.0002,test,184.5403,5.0,192.47765,5.75,21.7610142167364,188.2438201904297,5.179999828338623,190.08815317918013,5.0
0.0003,test,183.7265,5.0,189.92293,4.42,12.281283131130415,188.4723663330078,5.179999828338623,185.7701564381148,5.0
0.0004,train,182.9263,5.0,189.99759,4.99,1.2116139986864682,187.96974182128903,5.179999828338623,182.92630000000005,5.0
0.0005,train,181.3664,5.0,188.505,4.99,1.520454834487008,185.694091796875,5.179999828338623,181.36639999999997,5.0
0.0006,train,180.6062,5.0,187.2388,4.99,1.3962325135650302,184.01251220703125,5.179999828338623,180.6062,5.0
0.0007,val,179.8589,5.0,185.38017,4.801,1.811585056366276,183.7158050537109,5.179999828338623,179.8538898788761,5.0
0.0008,train,179.1245,5.0,183.60597,5.075,1.7566096697475733,183.1747131347656,5.488800048828125,179.12450000000004,5.0
0.0009,test,178.4027,5.0,182.30386,5.287474130517268,2.389440407734537,182.0443420410156,4.898799896240234,178.4007919720431,5.0
0.001,train,177.6934,5.0,182.78851,5.395101938475112,0.8816323060929996,181.6926422119141,5.237999439239502,177.6933999999999,5.0
0.0011,train,176.9964,5.0,179.75201,5.515291363036071,1.2903625537619057,180.7423248291016,5.029999732971191,176.99639999999997,5.0
0.0012,val,176.3116,5.0,179.17097,5.454935056163245,1.578649045794414,183.11947631835932,5.470000267028809,176.18919178767925,5.0
0.0013,val,174.9779,5.0,179.09813,5.275492702564574,3.0651163196589377,178.6736297607422,4.86400032043457,175.3422903555263,5.0
0.0014,test,174.3287,5.0,176.34772,5.109355032685561,1.6986005550027137,177.48483276367188,4.990000247955322,174.51688180611032,5.0
0.0015,test,173.691,5.0,175.70625,4.954684562370597,1.7419721618184854,177.2428436279297,5.159999847412109,173.7503330282774,5.0
0.0016,train,173.0649,5.0,176.11267,4.797872465126126,0.8892409690656083,176.89266967773438,5.063999652862549,173.0648999999999,5.0
0.0017,train,172.45,5.0,177.59773,5.055115404477848,1.272769789825311,176.5175018310547,5.00160026550293,172.44999999999993,5.0
0.0018,train,171.8462,5.0,175.3942,4.686415335873832,0.8400954957607623,175.1472625732422,4.903200149536133,171.84619999999998,5.0
