E,branch_local_id,n_points,n_points_branch_meta,k_left,k_right,width_k,k_min,Ta_min,Ta_max,Ta_mean,Ta_std,amplitude,Ta_left,Ta_right,left_width,right_width,left_rise,right_rise,width_asymmetry,rise_asymmetry,slope_left_local,slope_right_local,global_slope,mean_abs_slope,max_abs_slope,mean_curvature,mean_abs_curvature,curvature_at_min,convexity_ratio,area_above_min,roughness_rmse,arc_length,normalized_arc_length,has_switch_left,has_switch_right
0.0001,0,191,,1.0,20.0,19.0,5.0,185.3679,557.0537,312.2626890052356,104.68669200240609,371.6858000000001,557.0537,524.0816,4.0,15.0,371.6858000000001,338.7137,0.5789473684210527,-0.08870960364910378,-1.9758999999998328,1.3603999999999064,14.089309236359874,38.54495811518326,485.0799999999999,28.145824607329786,28.145824607329786,11.107500000001135,0.3946411290116723,2388.170495,254.28445120082267,711.0683954446451,37.42465239182343,,
0.0002,0,191,,1.0,20.0,19.0,5.0,184.5403,554.2694,308.9963361256544,102.14475707445733,369.7291,554.2694,513.4877,4.0,15.0,369.7291,328.9474,0.5789473684210527,-0.11030156944638655,-1.945200000000103,1.3711000000000833,13.649483442408364,37.92072251308899,482.6189999999998,27.932539267015688,27.932539267015688,11.03749999999938,0.39514846446606733,2342.1764650000005,250.85233355133474,699.353680563568,36.8080884507141,,
0.0003,0,191,,1.0,20.0,19.0,5.0,183.7265,551.5234,305.98368115183246,99.90857770083262,367.79690000000005,551.5234,504.268,4.0,15.0,367.79690000000005,320.5415,0.5789473684210527,-0.12848232271669516,-1.9138999999999735,1.383100000000137,13.262174383438959,37.36996596858639,480.19199999999967,27.73920157068057,27.73920157068057,10.97500000000029,0.39564945559213593,2300.69524,247.8309629220432,689.0232143157825,36.26437970083066,,
0.0004,0,191,,1.0,20.0,19.0,5.0,182.9263,548.8151,303.22813036649217,97.97888204076709,365.88880000000006,548.8151,496.4639,4.0,15.0,365.88880000000006,313.5376,0.5789473684210527,-0.1430795367335651,-1.8818999999998707,1.396699999999852,12.92828742938826,36.89491884816754,477.79799999999983,27.56702879581149,27.56702879581149,10.914999999999434,0.3959440127133995,2263.79364,245.23009241861465,680.1181214150503,35.79569060079212,,
0.0005,0,191,,1.0,20.0,19.0,5.0,181.3664,543.5085,298.5674528795812,95.14701608201702,362.1421,543.5085,486.087,4.0,15.0,362.1421,304.7206,0.5789473684210527,-0.15856068653713565,-1.8144999999999176,1.4270999999998712,12.441771806971612,36.225130890052355,473.10399999999976,27.32200261780097,27.32200261780097,10.790000000000116,0.3949198069752823,2205.1969750000003,241.60363834705112,667.5651414477516,35.1350074446185,,
0.0006,0,191,,1.0,20.0,19.0,5.0,180.6062,540.909,296.79134136125646,94.44997839804584,360.3028,540.909,485.5594,4.0,15.0,360.3028,304.9532,0.5789473684210527,-0.15361967767111442,-1.7795999999999135,1.4447000000000572,12.32430977197574,36.14262303664921,470.8049999999993,27.355641361256463,27.355641361256463,10.73250000000034,0.3923322381028389,2185.8734,241.26574763344982,665.9606664754373,35.05056139344407,,
0.0007,0,191,,1.0,20.0,19.0,5.0,179.8589,538.3444,295.8288659685864,95.04595384158164,358.48549999999994,538.3444,502.4883,4.0,15.0,358.48549999999994,322.6294,0.5789473684210527,-0.10002106082393841,-1.7441999999997801,1.463700000000068,12.418773105538707,37.07294240837697,468.5359999999993,29.51929319371718,29.51929319371718,10.679999999999305,0.3617972805078007,2180.970605,246.99486125784927,681.8151065274316,35.885005606706926,,
0.0008,0,182,,1.0,19.1,18.1,5.0,179.1245,535.8141,286.27191868131865,89.09613069043714,356.68960000000004,535.8141,474.03,4.0,14.100000000000001,356.68960000000004,294.90549999999996,0.5580110497237569,-0.1732153110155162,-1.707599999999993,1.48369999999999,11.419840102475181,38.240810439560434,466.296,15.755769230769731,47.72579670329627,10.62249999999953,0.22257355002448534,1917.5032650000005,241.28736710139006,679.187619381625,37.52417786638812,,
0.0008,1,10,,19.1,20.0,0.8999999999999986,19.4,466.7539,474.03,469.34873,2.384127226911348,7.276099999999985,474.03,472.6304,0.29999999999999716,0.6000000000000014,7.276099999999985,5.876500000000021,0.3333333333333386,-0.19235579500006417,-23.46519999999914,6.141799999999735,1.370975757576086,16.285850000000117,52.17500000000084,76.614500000001,76.614500000001,73.50250000000057,0.9593810571105941,1.9371999999999994,4.699730290815355,13.213146833036067,14.681274258928987,,
0.0009,0,172,,1.0,18.1,17.1,5.0,178.4027,533.3175,276.0109465116279,82.39653826782607,354.9148,533.3175,446.9689,4.0,13.100000000000001,354.9148,268.5662,0.5321637426900585,-0.24329388348978412,-1.6698999999998805,1.5054000000000303,10.099279685300093,38.61615697674418,464.0869999999997,17.869738372093483,48.755406976743785,10.569999999998496,0.2167964674162265,1647.6877900000002,236.18817605076683,647.565912282025,37.86935159544006,,
0.0009,1,20,,18.1,20.0,1.8999999999999986,18.5,437.8174,461.4682,446.207085,7.397441895295624,23.650800000000004,446.9689,461.4682,0.3999999999999986,1.5,9.151499999999999,23.650800000000004,0.5789473684210538,0.6130574864275206,-9.059800000000608,7.2050999999994145,11.17399624060145,18.56232500000014,63.7000000000014,48.87550000000094,48.87550000000094,47.57750000000147,0.9734427269286361,15.139254999999949,9.031261630346195,32.95731864547292,17.345957181827863,,
0.001,0,164,,1.0,17.3,16.3,5.0,177.6934,530.8539,268.1958408536585,77.81099268974711,353.16049999999996,530.8539,419.0088,4.0,12.3,353.16049999999996,241.3154,0.5092024539877301,-0.3166976488027397,-1.6313000000001217,1.5284000000000546,8.999438359201772,40.64264634146334,461.9049999999989,7.564512195121912,64.23689024390225,10.520000000001383,0.16376882442561896,1454.516235,229.38471917870152,646.3418349642558,39.65287331069054,,
