E,Ta_c_true,k_c_true,Ta_c_base,k_c_base,Ta_c_rl,k_c_rl,curve_MAPE_base,curve_MAPE_rl
0.0002,184.5403,5.0,192.10948,5.56,192.10947585551656,5.56,3.146714980601391,3.1816411637811015
0.0003,183.7265,5.0,189.46477,4.609999999999999,189.4647700986966,4.609999999999999,2.249648965591072,2.2441599587492225
0.0009,178.4027,5.0,180.36166,4.601478269634505,180.36167630365748,4.601478269634505,1.6281166828951157,1.648203815716604
0.0014,174.3287,5.0,176.44032,5.109355032685561,176.44032687876603,5.109355032685561,1.0899479732872637,1.086640670375779
0.0015,173.691,5.0,175.58469,5.0865073811162835,175.58468615081452,5.0865073811162835,0.9689004007898744,0.9363042188195922
0.0034,162.6449,4.9,164.17188,4.609999999999999,164.17187101591867,4.609999999999999,1.0830818884427438,1.0501418683278854
0.0037,160.9842,4.8,162.83824,5.18,162.83823805688996,5.18,0.8120877036581946,0.8110616493376019
0.0052,155.1319,4.7,156.11694,4.71,156.11694748401735,4.71,0.7463430943708727,0.7128872337026999
0.0055,154.2701,4.7,155.42921,4.383781806158927,155.42921459932313,4.383781806158927,0.48115412270441454,0.5049856238178633
0.0066,151.097,4.5,150.93758,9.62568180600643,151.099007797399,9.62568180600643,0.7962832771145709,0.7656412015611419
0.0071,145.1238,9.6,147.39731,9.93,147.39731799527996,9.93,1.2697686562014607,1.287631865703601
0.0097,121.2745,9.5,120.85428,9.422,120.53644061610173,9.422,1.0334275786331566,1.0199701292699639
0.0103,116.9699,9.5,116.78657,9.455030439235827,116.6146863100314,9.455030439235827,0.5237357523491714,0.5470472205342456
0.0119,106.7607,9.6,106.21728,9.708907232670546,106.02607894209432,9.708907232670546,1.2248073045933272,1.2193579463257795
0.0124,103.5658,9.6,105.30051,10.004,105.30345260453157,10.004,2.2550166494836454,2.300614064411685
0.0127,101.88,9.7,102.37156,9.93,102.37155756683615,9.93,2.0943397051886183,2.0507993025091915
0.0156,87.7727,10.2,87.513115,10.238832451078201,87.51311349580068,10.238832451078201,0.3129772052951863,0.29977909821343374
0.0174,81.1148,10.7,79.824875,10.664,79.82486841276078,10.664,1.554615399775209,1.5001890288192874
0.0186,77.2257,11.0,76.90231,10.96320972987445,76.68012377463671,10.77420972987445,0.4802766251078032,0.4536799411829688
0.019,75.7865,11.1,76.120445,11.238,75.94847987038045,10.86,0.6559976393367907,0.6318638736401826
0.0195,74.5646,11.2,74.79998,11.474,74.55549385889887,11.327,1.0923965058179745,0.9596563623675886
0.0203,72.1216,11.5,72.05937,11.50321429351504,70.71815869127883,11.50321429351504,0.4788901541274368,0.5049308612810688
0.0218,68.5635,12.1,68.54298,12.038439249830711,68.6612382167085,12.038439249830711,0.270713135534876,0.33400066665763706
0.0239,64.7112,13.1,64.6394,13.085142289412218,64.88987111935447,13.161129736781314,0.16331304994957652,0.17536235599380787
0.0256,62.2736,14.2,62.11442,14.23764162754926,62.22016099780328,14.23764162754926,0.2465808742572555,0.2522775869164746
0.0262,61.5743,14.6,61.489967,14.522862325479405,61.63649661520063,14.522862325479405,0.25995456252744703,0.28219263947905526
0.0269,60.8537,15.0,60.784206,14.983864866240456,60.776278939801614,14.983864866240456,0.3431287306194378,0.33075836734071634
0.0291,57.932,12.5,57.79337,12.509037779222831,57.79336932819571,12.509037779222831,0.36404520857088757,0.3936951432232574
0.0309,56.1506,13.1,56.000782,13.336,56.00078241340108,13.336,0.6022055425581792,0.546979140274608
0.0311,55.8932,4.8,55.907276,13.2,55.907278098996656,13.2,0.5461594908496711,0.47568602311158426
0.0343,51.8611,5.0,51.566734,4.830204277281574,51.566731230192154,4.830204277281574,2.372850124182118,2.655409614492512
0.0557,42.2989,12.5,43.85654,10.31,43.85654169443259,10.31,2.5715231168419046,2.5979016995729394
0.0629,39.5919,8.1,40.145626,9.17,40.14562538215233,9.17,4.1710185376932465,4.148517078396395
0.0714,35.8881,8.2,36.983887,9.36,36.98388716289121,9.36,3.189155888314274,3.15786918490236
0.0914,30.8016,6.0,31.545128,5.94,31.545128027801205,5.94,1.7168787142064479,1.7264492173086572
0.1,29.2274,6.4,30.142094,5.56,30.142093615206285,5.56,2.8018252309351617,2.7853412271326827
0.1041,28.8085,6.6,29.287561,9.17,29.287561954204214,9.17,4.081364985041141,4.080755528068596
0.1082,28.3133,15.6,28.690395,11.64,28.690396705490034,11.64,3.2120168189852047,3.2726064884313115
0.149,27.7785,16.3,28.261879,15.82,28.26188042942178,15.82,4.511205347462631,4.409207083854751
0.1857,28.782,16.3,29.272854,16.200000000000003,29.272854711340667,16.200000000000003,1.4661741131009909,1.5677566990619407
0.2388,26.9518,16.5,27.074556,15.82,27.074556408483737,15.82,1.1524307179989823,1.2559273991227848
0.3003,27.3752,14.2,27.693703,15.06,27.693703299843673,15.06,1.0930143113996218,1.1602210881057013
0.3087,27.2404,14.8,27.667685,16.01,27.667684380168275,16.01,1.131064353679507,1.1557600633787468
0.3172,27.1587,15.3,27.551437,16.580000000000002,27.5514378670429,16.580000000000002,1.1826463415036956,1.1009591889986285
0.4017,27.7783,12.8,28.456669,15.25,28.456669361125208,15.25,1.8094589459725998,1.876027637637302
0.4271,28.1264,13.4,28.879648,14.3,28.879648715895662,14.3,1.7513935293956882,1.7388448872809215
0.4863,29.3543,14.6,30.067762,15.44,30.06776286888363,15.44,1.4842469574491468,1.4180391231263856
0.5116,29.9875,15.0,30.717548,15.25,30.717548862699285,15.25,1.550553711548928,1.4807951052006434
0.537,30.6552,15.3,31.422297,16.01,31.422296113860945,16.01,2.1500711235099152,2.0683039178644576
0.7167,31.5804,13.2,32.526443,14.3,32.5264443601709,14.3,1.9900072066017915,2.0211687829554257
0.7274,31.6522,13.4,32.72534,14.489999999999998,32.72534170822173,14.489999999999998,1.9632123473804153,2.0204261204188554
0.7593,31.9021,13.7,33.09521,14.3,33.09521063290488,14.3,1.911943358034159,1.963779120834918
0.7806,32.0927,14.0,33.265392,14.68,33.26539266064838,14.68,1.9929675233766577,1.9901307002448805
0.8018,32.3009,14.2,33.481514,14.87,33.48151345669794,14.87,2.0500197850489235,1.9896228307560673
0.8231,32.5243,14.4,33.737926,14.68,33.73792426262463,14.68,2.148856197087133,2.0800293051169025
2.1204,50.6763,16.7,51.73991,14.489999999999998,51.73990851475037,14.489999999999998,3.0951937825987654,3.0383932713191455
2.5564,55.0525,16.4,55.88897,14.68,55.888967669317665,14.68,1.4043479937492458,1.4340943120404996
2.6096,55.5219,16.4,56.240776,16.39,56.24077443112773,16.39,1.2869762617265872,1.2863999343032315
2.6202,55.6143,16.4,56.298687,16.39,56.29868663845525,16.39,1.2710388690106162,1.2676065538015517
3.7367,59.3921,18.6,60.57913,16.39,60.57913087258185,16.39,0.9791628216435523,0.9736992944408114
4.949,61.4511,18.6,62.993233,16.01,62.99323253732763,16.01,1.2024911787547232,1.1402573726180487
6.3633,62.9268,18.6,64.18731,14.3,64.18731350372927,14.3,1.341182936039509,1.2894519614138633
7.1714,63.5243,18.6,64.73613,14.489999999999998,64.73612704524488,14.489999999999998,1.0188263617522284,0.9800032704695831
8.7878,64.406,18.6,65.864265,14.489999999999998,65.86426826723634,14.489999999999998,1.36170537637854,1.3160460662404636
