E,k,Ta_tab,raw_sign,epp,absmu_at_Ta_tab,Ta_star,dev_pct,absmu_star,arg_over_pi,seconds
0.0008,5.0000,179.124500,-1,+1,1.000054,179.123490,-0.0006,1.000000,-0.0000,3.7
0.0008,5.0000,179.124500,-1,-1,0.393898,191.963270,7.1675,1.000000,0.0000,2.3
0.0033,4.9000,163.077000,+1,+1,1.009111,162.920610,-0.0959,1.000000,0.0000,2.3
0.0033,4.9000,163.077000,+1,-1,1.287132,159.947600,-1.9190,1.000000,0.0000,2.0
0.0171,10.6000,82.146600,-1,+1,1.837992,77.316479,-5.8799,1.000000,0.0000,2.9
0.0171,10.6000,82.146600,-1,-1,0.660871,84.542819,2.9170,1.000000,0.0000,3.1
0.1286,15.6000,26.172200,+1,+1,10.644746,NaN,NaN,NaN,NaN,9.6
0.1286,15.6000,26.172200,+1,-1,81.904590,NaN,NaN,NaN,NaN,7.3
0.7274,13.4000,31.652200,-1,+1,399.283730,NaN,NaN,NaN,NaN,6.7
0.7274,13.4000,31.652200,-1,-1,569556.981922,NaN,NaN,NaN,NaN,24.0
1.7163,16.8000,45.635300,-1,+1,4394581320877751664640.000000,NaN,NaN,NaN,NaN,13.5
1.7163,16.8000,45.635300,-1,-1,12003.803901,NaN,NaN,NaN,NaN,5.1
10,18.6000,64.888400,+1,+1,1166665937.765481,NaN,NaN,NaN,NaN,4.9
10,18.6000,64.888400,+1,-1,65608308674197123497984.000000,NaN,NaN,NaN,NaN,28.7
